id,document_id,document_title,category,subcategory,document,question,answer,answer_type,difficulty,language,keywords,context_length,answer_length,retrieval_score,source_type,domain,created_date,source,notes
22,DOC_000022,AI Concept,AI,General,AI document,Question 22,Answer 22,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-01-23,Synthetic,Sample
23,DOC_000023,AI Concept,AI,General,AI document,Question 23,Answer 23,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-01-24,Synthetic,Sample
24,DOC_000024,AI Concept,AI,General,AI document,Question 24,Answer 24,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-01-25,Synthetic,Sample
25,DOC_000025,AI Concept,AI,General,AI document,Question 25,Answer 25,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-01-26,Synthetic,Sample
26,DOC_000026,AI Concept,AI,General,AI document,Question 26,Answer 26,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-01-27,Synthetic,Sample
27,DOC_000027,AI Concept,AI,General,AI document,Question 27,Answer 27,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-01-28,Synthetic,Sample
28,DOC_000028,AI Concept,AI,General,AI document,Question 28,Answer 28,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-01-29,Synthetic,Sample
29,DOC_000029,AI Concept,AI,General,AI document,Question 29,Answer 29,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-01-30,Synthetic,Sample
30,DOC_000030,AI Concept,AI,General,AI document,Question 30,Answer 30,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-01-31,Synthetic,Sample
31,DOC_000031,AI Concept,AI,General,AI document,Question 31,Answer 31,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-02-01,Synthetic,Sample
32,DOC_000032,AI Concept,AI,General,AI document,Question 32,Answer 32,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-02-02,Synthetic,Sample
33,DOC_000033,AI Concept,AI,General,AI document,Question 33,Answer 33,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-02-03,Synthetic,Sample
34,DOC_000034,AI Concept,AI,General,AI document,Question 34,Answer 34,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-02-04,Synthetic,Sample
35,DOC_000035,AI Concept,AI,General,AI document,Question 35,Answer 35,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-02-05,Synthetic,Sample
36,DOC_000036,AI Concept,AI,General,AI document,Question 36,Answer 36,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-02-06,Synthetic,Sample
37,DOC_000037,AI Concept,AI,General,AI document,Question 37,Answer 37,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-02-07,Synthetic,Sample
38,DOC_000038,AI Concept,AI,General,AI document,Question 38,Answer 38,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-02-08,Synthetic,Sample
39,DOC_000039,AI Concept,AI,General,AI document,Question 39,Answer 39,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-02-09,Synthetic,Sample
40,DOC_000040,AI Concept,AI,General,AI document,Question 40,Answer 40,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-02-10,Synthetic,Sample
41,DOC_000041,AI Concept,AI,General,AI document,Question 41,Answer 41,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-02-11,Synthetic,Sample
42,DOC_000042,AI Concept,AI,General,AI document,Question 42,Answer 42,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-02-12,Synthetic,Sample
43,DOC_000043,AI Concept,AI,General,AI document,Question 43,Answer 43,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-02-13,Synthetic,Sample
44,DOC_000044,AI Concept,AI,General,AI document,Question 44,Answer 44,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-02-14,Synthetic,Sample
45,DOC_000045,AI Concept,AI,General,AI document,Question 45,Answer 45,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-02-15,Synthetic,Sample
46,DOC_000046,AI Concept,AI,General,AI document,Question 46,Answer 46,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-02-16,Synthetic,Sample
47,DOC_000047,AI Concept,AI,General,AI document,Question 47,Answer 47,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-02-17,Synthetic,Sample
48,DOC_000048,AI Concept,AI,General,AI document,Question 48,Answer 48,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-02-18,Synthetic,Sample
49,DOC_000049,AI Concept,AI,General,AI document,Question 49,Answer 49,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-02-19,Synthetic,Sample
50,DOC_000050,AI Concept,AI,General,AI document,Question 50,Answer 50,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-02-20,Synthetic,Sample
51,DOC_000051,AI Concept,AI,General,AI document,Question 51,Answer 51,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-02-21,Synthetic,Sample
52,DOC_000052,AI Concept,AI,General,AI document,Question 52,Answer 52,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-02-22,Synthetic,Sample
53,DOC_000053,AI Concept,AI,General,AI document,Question 53,Answer 53,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-02-23,Synthetic,Sample
54,DOC_000054,AI Concept,AI,General,AI document,Question 54,Answer 54,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-02-24,Synthetic,Sample
55,DOC_000055,AI Concept,AI,General,AI document,Question 55,Answer 55,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-02-25,Synthetic,Sample
56,DOC_000056,AI Concept,AI,General,AI document,Question 56,Answer 56,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-02-26,Synthetic,Sample
57,DOC_000057,AI Concept,AI,General,AI document,Question 57,Answer 57,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-02-27,Synthetic,Sample
58,DOC_000058,AI Concept,AI,General,AI document,Question 58,Answer 58,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-02-28,Synthetic,Sample
59,DOC_000059,AI Concept,AI,General,AI document,Question 59,Answer 59,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-03-01,Synthetic,Sample
60,DOC_000060,AI Concept,AI,General,AI document,Question 60,Answer 60,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-03-02,Synthetic,Sample
61,DOC_000061,AI Concept,AI,General,AI document,Question 61,Answer 61,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-03-03,Synthetic,Sample
62,DOC_000062,AI Concept,AI,General,AI document,Question 62,Answer 62,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-03-04,Synthetic,Sample
63,DOC_000063,AI Concept,AI,General,AI document,Question 63,Answer 63,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-03-05,Synthetic,Sample
64,DOC_000064,AI Concept,AI,General,AI document,Question 64,Answer 64,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-03-06,Synthetic,Sample
65,DOC_000065,AI Concept,AI,General,AI document,Question 65,Answer 65,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-03-07,Synthetic,Sample
66,DOC_000066,AI Concept,AI,General,AI document,Question 66,Answer 66,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-03-08,Synthetic,Sample
67,DOC_000067,AI Concept,AI,General,AI document,Question 67,Answer 67,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-03-09,Synthetic,Sample
68,DOC_000068,AI Concept,AI,General,AI document,Question 68,Answer 68,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-03-10,Synthetic,Sample
69,DOC_000069,AI Concept,AI,General,AI document,Question 69,Answer 69,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-03-11,Synthetic,Sample
70,DOC_000070,AI Concept,AI,General,AI document,Question 70,Answer 70,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-03-12,Synthetic,Sample
71,DOC_000071,AI Concept,AI,General,AI document,Question 71,Answer 71,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-03-13,Synthetic,Sample
72,DOC_000072,AI Concept,AI,General,AI document,Question 72,Answer 72,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-03-14,Synthetic,Sample
73,DOC_000073,AI Concept,AI,General,AI document,Question 73,Answer 73,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-03-15,Synthetic,Sample
74,DOC_000074,AI Concept,AI,General,AI document,Question 74,Answer 74,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-03-16,Synthetic,Sample
75,DOC_000075,AI Concept,AI,General,AI document,Question 75,Answer 75,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-03-17,Synthetic,Sample
76,DOC_000076,AI Concept,AI,General,AI document,Question 76,Answer 76,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-03-18,Synthetic,Sample
77,DOC_000077,AI Concept,AI,General,AI document,Question 77,Answer 77,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-03-19,Synthetic,Sample
78,DOC_000078,AI Concept,AI,General,AI document,Question 78,Answer 78,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-03-20,Synthetic,Sample
79,DOC_000079,AI Concept,AI,General,AI document,Question 79,Answer 79,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-03-21,Synthetic,Sample
80,DOC_000080,AI Concept,AI,General,AI document,Question 80,Answer 80,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-03-22,Synthetic,Sample
81,DOC_000081,AI Concept,AI,General,AI document,Question 81,Answer 81,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-03-23,Synthetic,Sample
82,DOC_000082,AI Concept,AI,General,AI document,Question 82,Answer 82,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-03-24,Synthetic,Sample
83,DOC_000083,AI Concept,AI,General,AI document,Question 83,Answer 83,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-03-25,Synthetic,Sample
84,DOC_000084,AI Concept,AI,General,AI document,Question 84,Answer 84,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-03-26,Synthetic,Sample
85,DOC_000085,AI Concept,AI,General,AI document,Question 85,Answer 85,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-03-27,Synthetic,Sample
86,DOC_000086,AI Concept,AI,General,AI document,Question 86,Answer 86,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-03-28,Synthetic,Sample
87,DOC_000087,AI Concept,AI,General,AI document,Question 87,Answer 87,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-03-29,Synthetic,Sample
88,DOC_000088,AI Concept,AI,General,AI document,Question 88,Answer 88,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-03-30,Synthetic,Sample
89,DOC_000089,AI Concept,AI,General,AI document,Question 89,Answer 89,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-03-31,Synthetic,Sample
90,DOC_000090,AI Concept,AI,General,AI document,Question 90,Answer 90,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-04-01,Synthetic,Sample
91,DOC_000091,AI Concept,AI,General,AI document,Question 91,Answer 91,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-04-02,Synthetic,Sample
92,DOC_000092,AI Concept,AI,General,AI document,Question 92,Answer 92,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-04-03,Synthetic,Sample
93,DOC_000093,AI Concept,AI,General,AI document,Question 93,Answer 93,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-04-04,Synthetic,Sample
94,DOC_000094,AI Concept,AI,General,AI document,Question 94,Answer 94,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-04-05,Synthetic,Sample
95,DOC_000095,AI Concept,AI,General,AI document,Question 95,Answer 95,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-04-06,Synthetic,Sample
96,DOC_000096,AI Concept,AI,General,AI document,Question 96,Answer 96,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-04-07,Synthetic,Sample
97,DOC_000097,AI Concept,AI,General,AI document,Question 97,Answer 97,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-04-08,Synthetic,Sample
98,DOC_000098,AI Concept,AI,General,AI document,Question 98,Answer 98,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-04-09,Synthetic,Sample
99,DOC_000099,AI Concept,AI,General,AI document,Question 99,Answer 99,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-04-10,Synthetic,Sample
100,DOC_000100,AI Concept,AI,General,AI document,Question 100,Answer 100,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-04-11,Synthetic,Sample
101,DOC_000101,AI Concept,AI,General,AI document,Question 101,Answer 101,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-04-12,Synthetic,Sample
102,DOC_000102,AI Concept,AI,General,AI document,Question 102,Answer 102,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-04-13,Synthetic,Sample
103,DOC_000103,AI Concept,AI,General,AI document,Question 103,Answer 103,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-04-14,Synthetic,Sample
104,DOC_000104,AI Concept,AI,General,AI document,Question 104,Answer 104,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-04-15,Synthetic,Sample
105,DOC_000105,AI Concept,AI,General,AI document,Question 105,Answer 105,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-04-16,Synthetic,Sample
106,DOC_000106,AI Concept,AI,General,AI document,Question 106,Answer 106,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-04-17,Synthetic,Sample
107,DOC_000107,AI Concept,AI,General,AI document,Question 107,Answer 107,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-04-18,Synthetic,Sample
108,DOC_000108,AI Concept,AI,General,AI document,Question 108,Answer 108,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-04-19,Synthetic,Sample
109,DOC_000109,AI Concept,AI,General,AI document,Question 109,Answer 109,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-04-20,Synthetic,Sample
110,DOC_000110,AI Concept,AI,General,AI document,Question 110,Answer 110,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-04-21,Synthetic,Sample
111,DOC_000111,AI Concept,AI,General,AI document,Question 111,Answer 111,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-04-22,Synthetic,Sample
112,DOC_000112,AI Concept,AI,General,AI document,Question 112,Answer 112,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-04-23,Synthetic,Sample
113,DOC_000113,AI Concept,AI,General,AI document,Question 113,Answer 113,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-04-24,Synthetic,Sample
114,DOC_000114,AI Concept,AI,General,AI document,Question 114,Answer 114,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-04-25,Synthetic,Sample
115,DOC_000115,AI Concept,AI,General,AI document,Question 115,Answer 115,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-04-26,Synthetic,Sample
116,DOC_000116,AI Concept,AI,General,AI document,Question 116,Answer 116,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-04-27,Synthetic,Sample
117,DOC_000117,AI Concept,AI,General,AI document,Question 117,Answer 117,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-04-28,Synthetic,Sample
118,DOC_000118,AI Concept,AI,General,AI document,Question 118,Answer 118,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-04-29,Synthetic,Sample
119,DOC_000119,AI Concept,AI,General,AI document,Question 119,Answer 119,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-04-30,Synthetic,Sample
120,DOC_000120,AI Concept,AI,General,AI document,Question 120,Answer 120,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-05-01,Synthetic,Sample
121,DOC_000121,AI Concept,AI,General,AI document,Question 121,Answer 121,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-05-02,Synthetic,Sample
122,DOC_000122,AI Concept,AI,General,AI document,Question 122,Answer 122,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-05-03,Synthetic,Sample
123,DOC_000123,AI Concept,AI,General,AI document,Question 123,Answer 123,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-05-04,Synthetic,Sample
124,DOC_000124,AI Concept,AI,General,AI document,Question 124,Answer 124,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-05-05,Synthetic,Sample
125,DOC_000125,AI Concept,AI,General,AI document,Question 125,Answer 125,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-05-06,Synthetic,Sample
126,DOC_000126,AI Concept,AI,General,AI document,Question 126,Answer 126,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-05-07,Synthetic,Sample
127,DOC_000127,AI Concept,AI,General,AI document,Question 127,Answer 127,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-05-08,Synthetic,Sample
128,DOC_000128,AI Concept,AI,General,AI document,Question 128,Answer 128,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-05-09,Synthetic,Sample
129,DOC_000129,AI Concept,AI,General,AI document,Question 129,Answer 129,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-05-10,Synthetic,Sample
130,DOC_000130,AI Concept,AI,General,AI document,Question 130,Answer 130,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-05-11,Synthetic,Sample
131,DOC_000131,AI Concept,AI,General,AI document,Question 131,Answer 131,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-05-12,Synthetic,Sample
132,DOC_000132,AI Concept,AI,General,AI document,Question 132,Answer 132,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-05-13,Synthetic,Sample
133,DOC_000133,AI Concept,AI,General,AI document,Question 133,Answer 133,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-05-14,Synthetic,Sample
134,DOC_000134,AI Concept,AI,General,AI document,Question 134,Answer 134,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-05-15,Synthetic,Sample
135,DOC_000135,AI Concept,AI,General,AI document,Question 135,Answer 135,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-05-16,Synthetic,Sample
136,DOC_000136,AI Concept,AI,General,AI document,Question 136,Answer 136,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-05-17,Synthetic,Sample
137,DOC_000137,AI Concept,AI,General,AI document,Question 137,Answer 137,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-05-18,Synthetic,Sample
138,DOC_000138,AI Concept,AI,General,AI document,Question 138,Answer 138,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-05-19,Synthetic,Sample
139,DOC_000139,AI Concept,AI,General,AI document,Question 139,Answer 139,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-05-20,Synthetic,Sample
140,DOC_000140,AI Concept,AI,General,AI document,Question 140,Answer 140,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-05-21,Synthetic,Sample
141,DOC_000141,AI Concept,AI,General,AI document,Question 141,Answer 141,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-05-22,Synthetic,Sample
142,DOC_000142,AI Concept,AI,General,AI document,Question 142,Answer 142,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-05-23,Synthetic,Sample
143,DOC_000143,AI Concept,AI,General,AI document,Question 143,Answer 143,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-05-24,Synthetic,Sample
144,DOC_000144,AI Concept,AI,General,AI document,Question 144,Answer 144,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-05-25,Synthetic,Sample
145,DOC_000145,AI Concept,AI,General,AI document,Question 145,Answer 145,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-05-26,Synthetic,Sample
146,DOC_000146,AI Concept,AI,General,AI document,Question 146,Answer 146,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-05-27,Synthetic,Sample
147,DOC_000147,AI Concept,AI,General,AI document,Question 147,Answer 147,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-05-28,Synthetic,Sample
148,DOC_000148,AI Concept,AI,General,AI document,Question 148,Answer 148,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-05-29,Synthetic,Sample
149,DOC_000149,AI Concept,AI,General,AI document,Question 149,Answer 149,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-05-30,Synthetic,Sample
150,DOC_000150,AI Concept,AI,General,AI document,Question 150,Answer 150,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-05-31,Synthetic,Sample
151,DOC_000151,AI Concept,AI,General,AI document,Question 151,Answer 151,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-06-01,Synthetic,Sample
152,DOC_000152,AI Concept,AI,General,AI document,Question 152,Answer 152,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-06-02,Synthetic,Sample
153,DOC_000153,AI Concept,AI,General,AI document,Question 153,Answer 153,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-06-03,Synthetic,Sample
154,DOC_000154,AI Concept,AI,General,AI document,Question 154,Answer 154,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-06-04,Synthetic,Sample
155,DOC_000155,AI Concept,AI,General,AI document,Question 155,Answer 155,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-06-05,Synthetic,Sample
156,DOC_000156,AI Concept,AI,General,AI document,Question 156,Answer 156,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-06-06,Synthetic,Sample
157,DOC_000157,AI Concept,AI,General,AI document,Question 157,Answer 157,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-06-07,Synthetic,Sample
158,DOC_000158,AI Concept,AI,General,AI document,Question 158,Answer 158,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-06-08,Synthetic,Sample
159,DOC_000159,AI Concept,AI,General,AI document,Question 159,Answer 159,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-06-09,Synthetic,Sample
160,DOC_000160,AI Concept,AI,General,AI document,Question 160,Answer 160,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-06-10,Synthetic,Sample
161,DOC_000161,AI Concept,AI,General,AI document,Question 161,Answer 161,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-06-11,Synthetic,Sample
162,DOC_000162,AI Concept,AI,General,AI document,Question 162,Answer 162,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-06-12,Synthetic,Sample
163,DOC_000163,AI Concept,AI,General,AI document,Question 163,Answer 163,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-06-13,Synthetic,Sample
164,DOC_000164,AI Concept,AI,General,AI document,Question 164,Answer 164,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-06-14,Synthetic,Sample
165,DOC_000165,AI Concept,AI,General,AI document,Question 165,Answer 165,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-06-15,Synthetic,Sample
166,DOC_000166,AI Concept,AI,General,AI document,Question 166,Answer 166,Factoid,Easy,English,AI,2,2,0.95,Synthetic,AI,2026-06-16,Synthetic,Sample
